"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,          69,       1.560596874,     -0.8404325114,     -0.9499810492,                 0,      -3.749123446
          0,           0,          70,       1.569644795,     -0.8334574657,      -0.932817168,                 0,      -3.732362597
          0,           0,          71,       1.578170174,     -0.8268829463,     -0.9162676319,                 0,      -3.716556309
          0,           0,          72,       1.586067914,     -0.8207869883,     -0.9004434144,                 0,      -3.701840463
          0,           0,          73,       1.593235654,     -0.8152457108,     -0.8854432112,                 0,      -3.688338805
          0,           0,          74,       1.599573791,     -0.8103331685,     -0.8713533304,                 0,      -3.676164921
          0,           0,          75,       1.604985215,     -0.8061212364,     -0.8582486607,                 0,      -3.665424807
          0,           0,          76,       1.609375109,     -0.8026792597,     -0.8461942622,                 0,      -3.656219534
          0,           0,          77,       1.612651029,     -0.8000733095,     -0.8352471723,                 0,      -3.648647715
          0,           0,          78,       1.614723426,     -0.7983649637,     -0.8254581321,                 0,      -3.642807643
          0,           0,          79,       1.615506668,     -0.7976095751,     -0.8168730557,                 0,      -3.638799079
          0,           0,          80,        1.61492067,     -0.7978539937,     -0.8095341682,                 0,      -3.636724728
          0,           0,          81,       1.612893263,     -0.7991336828,     -0.8034807996,                 0,      -3.636691445
          0,           0,          82,        1.60936354,     -0.8014691292,     -0.7987498496,                 0,      -3.638811171
          0,           0,          83,       1.604286524,     -0.8048614119,     -0.7953759446,                 0,      -3.643201529
          0,           0,          84,        1.59763965,     -0.8092867817,     -0.7933912857,                 0,      -3.649985883
          0,           0,          85,       1.589431712,     -0.8146901366,     -0.7928251592,                 0,      -3.659292484
          0,           0,          86,       1.579715081,     -0.8209773822,     -0.7937030433,                 0,       -3.67125199
          0,           0,          87,       1.568602007,     -0.8280068996,     -0.7960451996,                 0,      -3.685992125
          0,           0,          88,       1.556285664,     -0.8355807454,     -0.7998645885,                 0,      -3.703627326
          0,           0,          89,       1.543065814,     -0.8434368468,      -0.805163888,                 0,      -3.724239687
          0,           0,          90,       1.529377138,     -0.8512443203,     -0.8119313306,                 0,      -3.747845026
          0,           0,          91,       1.515814883,     -0.8586050109,     -0.8201349976,                 0,      -3.774334018
          0,           0,          92,       1.503147085,     -0.8650650361,     -0.8297151499,                 0,       -3.80337331
          0,           0,          93,       1.492296574,     -0.8701398351,     -0.8405741505,                 0,      -3.834247937
          0,           0,          94,       1.484273454,     -0.8733541226,     -0.8525636134,                 0,      -3.865633999
          0,           0,          95,        1.48004744,     -0.8742937922,     -0.8654687229,                 0,      -3.895335442
          0,           0,          96,       1.480375156,     -0.8726610822,     -0.8789903834,                 0,      -3.920141128
          0,           0,          97,       1.485632868,      -0.868319818,     -0.8927272361,                 0,      -3.936142751
          0,           0,          98,        1.49572356,     -0.8613176021,     -0.9061618276,                 0,      -3.939841633
          0,           0,          99,       1.510103044,     -0.8518778793,     -0.9186581998,                 0,      -3.929724563
          0,           0,         100,       1.527912022,     -0.8403645139,     -0.9294809107,                 0,      -3.907093947
          0,           0,         101,       1.548153415,     -0.8272298255,     -0.9378455818,                 0,      -3.875327585
          0,           0,         102,       1.569849713,     -0.8129599797,     -0.9430050443,                 0,      -3.838308848
          0,           0,         103,       1.592144689,     -0.7980289226,     -0.9443610978,                 0,      -3.799270434
          0,           0,         104,       1.614347339,     -0.7828664892,     -0.9415739868,                 0,      -3.760433883
          0,           0,         105,       1.635934269,     -0.7678410897,     -0.9346317597,                 0,      -3.723135769
          0,           0,         106,        1.65652961,     -0.7532542033,     -0.9238514305,                 0,      -3.688090306
          0,           0,         107,       1.675876804,     -0.7393428633,     -0.9098115541,                 0,      -3.655621355
          0,           0,         108,       1.693810488,     -0.7262866434,       -0.89324377,                 0,      -3.625824934
          0,           0,         109,       1.710232162,     -0.7142165573,     -0.8749211711,                 0,       -3.59867192
          0,           0,         110,       1.725090661,     -0.7032242185,      -0.855571783,                 0,      -3.574069641
          0,           0,         111,       1.738367117,      -0.693370355,     -0.8358275572,                 0,       -3.55189776
          0,           0,         112,       1.750063694,     -0.6846922708,     -0.8162050492,                 0,      -3.532028763
          0,           0,         113,       1.760195252,     -0.6772101478,     -0.7971077303,                 0,      -3.514339439
          0,           0,         114,       1.768783233,     -0.6709322331,      -0.778839867,                 0,       -3.49871713
          0,           0,         115,       1.775851219,     -0.6658590196,     -0.7616246065,                 0,      -3.485062965
          0,           0,         116,       1.781421718,     -0.6619865428,     -0.7456219106,                 0,      -3.473293333
          0,           0,         117,       1.785513898,     -0.6593089018,     -0.7309442451,                 0,      -3.463340338
          0,           0,         118,       1.788142052,     -0.6578200918,     -0.7176693379,                 0,      -3.455151626
          0,           0,         119,       1.789314664,     -0.6575152127,      -0.705850048,                 0,       -3.44868982
          0,           0,         120,       1.789033982,     -0.6583910977,     -0.6955217072,                 0,      -3.443931689
          0,           0,         121,       1.787296044,     -0.6604463902,     -0.6867073827,                 0,      -3.440867109
          0,           0,         122,       1.784091139,     -0.6636810865,     -0.6794214906,                 0,      -3.439497862
          0,           0,         123,       1.779404677,     -0.6680955539,     -0.6736721257,                 0,      -3.439836277
          0,           0,         124,       1.773218493,     -0.6736890285,     -0.6694624074,                 0,      -3.441903733
          0,           0,         125,       1.765512604,     -0.6804575923,      -0.666791074,                 0,      -3.445728991
          0,           0,         126,       1.756267483,       -0.68839162,     -0.6656525135,                 0,      -3.451346355
          0,           0,         127,       1.745466926,     -0.6974726934,     -0.6660363658,                 0,      -3.458793594
          0,           0,         128,       1.733101638,     -0.7076699976,     -0.6679268112,                 0,      -3.468109547
          0,           0,         129,       1.719173687,     -0.7189362169,     -0.6713016391,                 0,      -3.479331298
          0,           0,         130,       1.703702077,     -0.7312029891,     -0.6761311859,                 0,      -3.492490743
          0,           0,         131,        1.68672967,     -0.7443760535,     -0.6823772241,                 0,      -3.507610272
          0,           0,         132,       1.668331759,     -0.7583303443,     -0.6899918931,                 0,      -3.524697233
          0,           0,         133,       1.648626518,     -0.7729054527,     -0.6989167698,                 0,      -3.543736666
          0,           0,         134,       1.627787394,     -0.7879021094,     -0.7090821888,                 0,      -3.564681702
          0,           0,         135,       1.606057083,     -0.8030806117,     -0.7204069268,                 0,      -3.587440891
          0,           0,         136,       1.583761947,     -0.8181623684,     -0.7327983678,                 0,      -3.611861667
          0,           0,         137,       1.561324428,     -0.8328358485,     -0.7461532385,                 0,       -3.63770939
          0,           0,         138,        1.53926917,     -0.8467680412,     -0.7603589569,                 0,      -3.664642118
          0,           0,         139,       1.518216598,     -0.8596218737,     -0.7752955554,                 0,      -3.692182961
          0,           0,         140,       1.498856639,     -0.8710788232,     -0.7908380151,                 0,      -3.719695115
          0,           0,         141,       1.481897029,     -0.8808643547,      -0.806858708,                 0,      -3.746369634
          0,           0,         142,        1.46798705,     -0.8887723019,      -0.823229489,                 0,        -3.7712417
          0,           0,         143,       1.457628541,     -0.8946835965,     -0.8398228635,                 0,      -3.793253673
          0,           0,         144,       1.451096926,     -0.8985754218,     -0.8565116179,                 0,      -3.811375585
          0,           0,         145,       1.448398033,     -0.9005189459,     -0.8731663854,                 0,      -3.824770377
          0,           0,         146,       1.449276266,      -0.900666567,     -0.8896508745,                 0,      -3.832958075
          0,           0,         147,       1.453270219,     -0.8992319851,     -0.9058149204,                 0,      -3.835914048
          0,           0,         148,       1.459794836,     -0.8964675179,       -0.92148613,                 0,      -3.834056102
          0,           0,         149,       1.468224306,     -0.8926427288,     -0.9364616352,                 0,      -3.828128051
          0,           0,         150,       1.477956884,     -0.8880270835,     -0.9505022576,                 0,      -3.819034194
          0,           0,         151,       1.488454613,     -0.8828777336,     -0.9633320189,                 0,      -3.807687348
          0,           0,         152,       1.499260268,     -0.8774322041,      -0.974646096,                 0,      -3.794907262
          0,           0,         153,       1.509998282,     -0.8719049974,     -0.9841295486,                 0,      -3.781374159
          0,           0,         154,       1.520366688,     -0.8664868733,     -0.9914870409,                 0,      -3.767623142
          0,           0,         155,       1.530125483,     -0.8613456716,     -0.9964803812,                 0,      -3.754061133
          0,           0,         156,       1.539084762,     -0.8566278096,     -0.9989669002,                 0,      -3.740992063
          0,           0,         157,        1.54709432,     -0.8524598907,     -0.9989292924,                 0,      -3.728641864
          0,           0,         158,       1.554035305,     -0.8489501139,     -0.9964883571,                 0,      -3.717179445
          0,           0,         159,       1.559813903,     -0.8461893655,     -0.9918945374,                 0,      -3.706732623
          0,           0,         160,       1.564356792,     -0.8442519669,     -0.9855004921,                 0,      -3.697399417
          0,           0,         161,       1.567607987,     -0.8431961071,     -0.9777221461,                 0,      -3.689255582
          0,           0,         162,        1.56952672,     -0.8430640514,     -0.9689975613,                 0,      -3.682359382
          0,           0,         163,       1.570086081,     -0.8438821806,     -0.9597513547,                 0,      -3.676754455
          0,           0,         164,       1.569272204,     -0.8456608967,     -0.9503688913,                 0,      -3.672471397
          0,           0,         165,       1.567083876,     -0.8483944308,     -0.9411810052,                 0,      -3.669528522
          0,           0,         166,       1.563532474,     -0.8520605885,     -0.9324576949,                 0,      -3.667932089
          0,           0,         167,       1.558642177,     -0.8566204667,     -0.9244082804,                 0,      -3.667676158
          0,           0,         168,       1.552450418,     -0.8620181964,     -0.9171855319,                 0,      -3.668742179
          0,           0,         169,       1.545008559,     -0.8681807826,     -0.9108918025,                 0,      -3.671098365
          0,           0,         170,       1.536382758,     -0.8750181483,     -0.9055858275,                 0,      -3.674698851
          0,           0,         171,       1.526654978,     -0.8824235219,     -0.9012894245,                 0,      -3.679482707
          0,           0,         172,       1.515924068,     -0.8902743409,     -0.8979937374,                 0,      -3.685372816
          0,           0,         173,       1.504306804,     -0.8984338656,     -0.8956649481,                 0,      -3.692274739
          0,           0,         174,       1.491938706,     -0.9067536982,     -0.8942495301,                 0,      -3.700075711
          0,           0,         175,       1.478974443,     -0.9150773609,     -0.8936791891,                 0,      -3.708643974
          0,           0,         176,       1.465587505,     -0.9232450032,     -0.8938756422,                 0,      -3.717828774
          0,           0,         177,       1.451968865,      -0.931099165,       -0.89475535,                 0,      -3.727461363
          0,           0,         178,       1.438324265,     -0.9384913493,     -0.8962342388,                 0,      -3.737357426
          0,           0,         179,       1.424869867,     -0.9452889485,     -0.8982323526,                 0,      -3.747321287
          0,           0,         180,       1.411826131,     -0.9513818832,      -0.900678287,                 0,      -3.757152157
          0,           0,         181,       1.399410017,     -0.9566882297,     -0.9035131746,                 0,      -3.766652376
          0,           0,         182,       1.387825883,     -0.9611581511,     -0.9066939421,                 0,      -3.775637297
          0,           0,         183,       1.377255825,     -0.9647756345,     -0.9101955499,                 0,      -3.783945934
          0,           0,         184,       1.367850417,      -0.967557833,     -0.9140119777,                 0,      -3.791451167
          0,           0,         185,       1.359720975,     -0.9695521635,     -0.9181558115,                 0,       -3.79806804
          0,           0,         186,       1.352934328,     -0.9708316223,     -0.9226564101,                 0,       -3.80375879
          0,           0,         187,       1.347510728,      -0.971488984,     -0.9275567559,                 0,      -3.808533726
          0,           0,         188,       1.343425053,     -0.9716306122,     -0.9329091951,                 0,      -3.812447741
          0,           0,         189,       1.340610915,     -0.9713705282,     -0.9387703285,                 0,      -3.815593037
          0,           0,         190,       1.338966871,     -0.9708252238,     -0.9451953313,                 0,      -3.818089228
          0,           0,         191,       1.338363801,     -0.9701094911,     -0.9522319427,                 0,      -3.820072291
          0,           0,         192,       1.338652483,      -0.969333355,     -0.9599143215,                 0,      -3.821683774
          0,           0,         193,       1.339670694,     -0.9686000412,     -0.9682569083,                 0,      -3.823061341
          0,           0,         194,        1.34124937,     -0.9680048143,     -0.9772484157,                 0,      -3.824331306
          0,           0,         195,       1.343217668,     -0.9676344865,     -0.9868461115,                 0,      -3.825603398
          0,           0,         196,       1.345406948,     -0.9675673926,     -0.9969706806,                 0,      -3.826967681
          0,           0,         197,        1.34765383,     -0.9678736444,       -1.00750211,                 0,      -3.828493332
          0,           0,         198,       1.349802504,     -0.9686155005,      -1.018277282,                 0,      -3.830228875
          0,           0,         199,       1.351706489,     -0.9698477518,      -1.029090324,                 0,      -3.832203534
          0,           0,         200,       1.353229954,     -0.9716180538,         -1.039697,                 0,      -3.834429373
          0,           0,         201,       1.354248721,     -0.9739671631,      -1.049824428,                 0,         -3.836904
          0,           0,         202,       1.354651025,     -0.9769290637,      -1.059186994,                 0,      -3.839613613
          0,           0,         203,       1.354338086,     -0.9805309821,      -1.067508343,                 0,      -3.842536239
          0,           0,         204,        1.35322453,      -0.984793309,      -1.074547694,                 0,      -3.845645061
          0,           0,         205,       1.351238712,     -0.9897294453,      -1.080126958,                 0,      -3.848911717
          0,           0,         206,       1.348322959,     -0.9953455991,      -1.084153751,                 0,      -3.852309466
          0,           0,         207,       1.344433792,      -1.001640558,      -1.086635406,                 0,      -3.855816139
          0,           0,         208,       1.339542139,      -1.008605463,      -1.087680723,                 0,      -3.859416741
          0,           0,         209,       1.333633584,      -1.016223614,      -1.087489133,                 0,      -3.863105618
          0,           0,         210,       1.326708666,      -1.024470318,      -1.086330001,                 0,      -3.866888082
          0,           0,         211,       1.318783236,      -1.033312829,      -1.084516759,                 0,      -3.870781426
