"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,          69,      0.8423430493,      -1.455486609,      -1.738696399,                 0,      -4.472276376
          0,           0,          70,      0.8397766572,      -1.457356011,      -1.742499108,                 0,      -4.471432078
          0,           0,          71,      0.8364536798,       -1.45958063,      -1.745074837,                 0,      -4.470778098
          0,           0,          72,      0.8322308333,      -1.462175603,      -1.747199201,                 0,      -4.470873665
          0,           0,          73,       0.827078442,      -1.465105058,      -1.749552288,                 0,      -4.472091375
          0,           0,          74,      0.8210621011,      -1.468294116,      -1.752642728,                 0,       -4.47463001
          0,           0,          75,      0.8143236696,      -1.471641871,      -1.756783497,                 0,       -4.47854054
          0,           0,          76,      0.8070642027,      -1.475033872,      -1.762097631,                 0,      -4.483752904
          0,           0,          77,       0.799529431,      -1.478353264,      -1.768535887,                 0,      -4.490097903
          0,           0,          78,      0.7919972335,      -1.481490154,      -1.775896105,                 0,      -4.497322908
          0,           0,          79,      0.7847659784,      -1.484348959,      -1.783841071,                 0,      -4.505102662
          0,           0,          80,      0.7781424286,      -1.486853653,      -1.791916807,                 0,      -4.513048054
          0,           0,          81,      0.7724280961,       -1.48895093,      -1.799576449,                 0,      -4.520716708
          0,           0,          82,       0.767903465,      -1.490611393,      -1.806215965,                 0,      -4.527629729
          0,           0,          83,      0.7648103928,      -1.491828992,      -1.811226225,                 0,      -4.533298285
          0,           0,          84,      0.7633340944,      -1.492619018,      -1.814060382,                 0,      -4.537261529
          0,           0,          85,      0.7635871041,      -1.493014998,      -1.814307133,                 0,      -4.539133234
          0,           0,          86,      0.7655980842,      -1.493064913,      -1.811752706,                 0,      -4.538649544
          0,           0,          87,      0.7693079487,      -1.492827065,      -1.806412831,                 0,      -4.535706586
          0,           0,          88,      0.7745744967,      -1.492365938,      -1.798523778,                 0,      -4.530377053
          0,           0,          89,      0.7811849685,      -1.491748302,      -1.788495678,                 0,      -4.522900249
          0,           0,          90,      0.7888743192,      -1.491039712,      -1.776843753,                 0,      -4.513648256
          0,           0,          91,      0.7973460974,      -1.490301535,      -1.764117303,                 0,      -4.503077776
          0,           0,          92,      0.8062928452,       -1.48958852,      -1.750841735,                 0,      -4.491679606
          0,           0,          93,      0.8154136966,      -1.488946916,      -1.737480493,                 0,      -4.479935392
          0,           0,          94,      0.8244279385,      -1.488413087,      -1.724416328,                 0,      -4.468286655
          0,           0,          95,      0.8330843179,      -1.488012563,      -1.711947318,                 0,      -4.457116567
          0,           0,          96,      0.8411665882,      -1.487759431,      -1.700292163,                 0,      -4.446742151
          0,           0,          97,      0.8484961558,      -1.487656029,      -1.689600101,                 0,      -4.437413566
          0,           0,          98,      0.8549327537,      -1.487692856,      -1.679962252,                 0,      -4.429317328
          0,           0,          99,       0.860373963,      -1.487848704,       -1.67142244,                 0,      -4.422581083
          0,           0,         100,      0.8647542015,       -1.48809102,      -1.663986538,                 0,      -4.417278379
          0,           0,         101,      0.8680435785,      -1.488376586,      -1.657629922,                 0,      -4.413432586
          0,           0,         102,      0.8702468003,      -1.488652599,      -1.652303019,                 0,       -4.41101969
          0,           0,         103,      0.8714021268,      -1.488858309,      -1.647935081,                 0,      -4.409970018
          0,           0,         104,       0.871580212,      -1.488927307,      -1.644436478,                 0,      -4.410169314
          0,           0,         105,      0.8708825281,      -1.488790535,      -1.641699889,                 0,      -4.411459783
          0,           0,         106,      0.8694389806,      -1.488379985,      -1.639600842,                 0,       -4.41364196
          0,           0,         107,      0.8674042883,      -1.487632888,      -1.637998159,                 0,      -4.416478404
          0,           0,         108,      0.8649527572,      -1.486496074,      -1.636734926,                 0,      -4.419700211
          0,           0,         109,      0.8622712483,      -1.484930019,        -1.6356406,                 0,      -4.423017162
          0,           0,         110,      0.8595504451,      -1.482912027,      -1.634534808,                 0,      -4.426131743
          0,           0,         111,      0.8569749348,      -1.480438052,       -1.63323318,                 0,      -4.428756425
          0,           0,         112,      0.8547130585,      -1.477522772,       -1.63155522,                 0,      -4.430632486
          0,           0,         113,      0.8529078206,      -1.474197792,      -1.629333764,                 0,      -4.431547655
          0,           0,         114,      0.8516702353,      -1.470508126,      -1.626425077,                 0,      -4.431349495
          0,           0,         115,      0.8510762259,      -1.466507395,      -1.622718276,                 0,      -4.429951885
          0,           0,         116,       0.851167594,      -1.462252321,      -1.618142624,                 0,      -4.427333435
