"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          21,      -4.429501116,      -1.784158545,      -1.696960925,       1.074792537,      -6.823639684,     0.01344434183,      0.7240004671,                 0,                 0,                 0,     0.09287758044,    -0.01574827959,      0.7239540167,                 0,       53.85168543,    0.009303285525
          0,           0,          22,      -4.446336244,      -1.794055589,      -1.710263858,       1.063607486,      -6.821809951,     0.01344433616,      0.7240004535,                 0,                 0,                 0,     0.09287757354,     -0.0157482847,      0.7239540029,                 0,       53.85170713,    0.009303285525
          0,           0,          23,      -4.464001788,      -1.802894589,      -1.723148625,       1.052137165,       -6.81984172,     0.01344433101,      0.7240004304,                 0,                 0,                 0,     0.09287756355,    -0.01574828892,      0.7239539796,                 0,       53.85172605,    0.009303285525
          0,           0,          24,      -4.482426161,      -1.811020715,      -1.737174961,       1.038445739,      -6.817828624,     0.01344432648,      0.7240003935,                 0,                 0,                 0,     0.09287754941,    -0.01574829196,      0.7239539426,                 0,       53.85174143,    0.009303285525
          0,           0,          25,      -4.500876887,      -1.818757933,      -1.753600257,       1.021314314,      -6.815848801,     0.01344432245,      0.7240003371,                 0,                 0,                 0,     0.09287752964,    -0.01574829371,       0.723953886,                 0,        53.8517534,    0.009303285525
          0,           0,          26,      -4.518393354,      -1.826264724,       -1.77320371,       1.000477162,      -6.813961175,     0.01344431852,      0.7240002536,                 0,                 0,                 0,     0.09287750233,    -0.01574829428,      0.7239538025,                 0,       53.85176294,    0.009303285525
          0,           0,          27,      -4.534111039,      -1.833457924,      -1.796275086,      0.9767822914,      -6.812211134,     0.01344431409,       0.724000134,                 0,                 0,                 0,      0.0928774651,    -0.01574829388,      0.7239536828,                 0,       53.85177179,    0.009303285525
          0,           0,          28,      -4.547433108,      -1.840041629,      -1.822622005,      0.9522555804,      -6.810629366,     0.01344430838,      0.7239999675,                 0,                 0,                 0,     0.09287741506,    -0.01574829288,      0.7239535162,                 0,       53.85178227,    0.009303285525
          0,           0,          29,      -4.558138539,      -1.845634668,      -1.851494298,      0.9298356124,      -6.809235455,     0.01344430051,       0.723999742,                 0,                 0,                 0,     0.09287734882,    -0.01574829165,      0.7239532906,                 0,       53.85179702,    0.009303285525
          0,           0,          30,      -4.566469751,      -1.849945143,       -1.88144231,      0.9125177771,      -6.808040003,     0.01344428954,       0.723999444,                 0,                 0,                 0,     0.09287726255,     -0.0157482906,      0.7239529923,                 0,       53.85181879,    0.009303285525
          0,           0,          31,      -4.573134899,      -1.852915318,      -1.910277434,       0.902056418,       -6.80704552,     0.01344427456,       0.723999059,                 0,                 0,                 0,       0.092877152,    -0.01574829005,      0.7239526071,                 0,       53.85185015,    0.009303285525
          0,           0,          32,      -4.579160387,      -1.854774213,      -1.935413799,      0.8980473594,      -6.806248397,     0.01344425472,       0.723998572,                 0,                 0,                 0,     0.09287701266,    -0.01574829024,      0.7239521197,                 0,       53.85189339,    0.009303285525
          0,           0,          33,      -4.585636835,       -1.85598371,      -1.954745143,      0.8981694049,      -6.805638254,     0.01344422928,      0.7239979674,                 0,                 0,                 0,     0.09287683983,    -0.01574829129,      0.7239515145,                 0,       53.85195033,    0.009303285525
          0,           0,          34,      -4.593472497,      -1.857113506,      -1.967699893,      0.8993208588,      -6.805201525,     0.01344419759,      0.7239972295,                 0,                 0,                 0,     0.09287662876,    -0.01574829321,      0.7239507759,                 0,       53.85202237,    0.009303285525
          0,           0,          35,      -4.603233571,      -1.858699159,      -1.975663985,      0.8987248717,      -6.804923943,     0.01344415913,      0.7239963424,                 0,                 0,                 0,     0.09287637477,    -0.01574829589,      0.7239498881,                 0,       53.85211047,    0.009303285525
          0,           0,          36,      -4.615075725,      -1.861125195,      -1.981370765,      0.8944980998,      -6.804789372,     0.01344411342,      0.7239952905,                 0,                 0,                 0,     0.09287607333,    -0.01574829916,      0.7239488352,                 0,        53.8522153,    0.009303285525
          0,           0,          37,      -4.628734372,      -1.864553362,      -1.987786288,       0.885786285,      -6.804781808,     0.01344406006,      0.7239940579,                 0,                 0,                 0,      0.0928757201,     -0.0157483028,      0.7239476014,                 0,       53.85233738,    0.009303285525
          0,           0,          38,      -4.643556211,      -1.868901762,      -1.997249378,      0.8727306062,      -6.804887203,     0.01344399859,      0.7239926283,                 0,                 0,                 0,     0.09287531097,     -0.0157483066,      0.7239461705,                 0,       53.85247725,    0.009303285525
          0,           0,          39,      -4.658588888,        -1.8738757,      -2.011112235,      0.8564001199,      -6.805092974,     0.01344392854,      0.7239909851,                 0,                 0,                 0,     0.09287484201,    -0.01574831036,      0.7239445258,                 0,       53.85263564,    0.009303285525
          0,           0,          40,      -4.672762153,      -1.879046987,      -2.029708803,      0.8386591331,      -6.805389911,     0.01344384931,       0.723989111,                 0,                 0,                 0,      0.0928743094,    -0.01574831398,        0.72394265,                 0,       53.85281359,    0.009303285525
          0,           0,          41,      -4.685160307,      -1.883969048,       -2.05243934,      0.8218362849,      -6.805766019,     0.01344376022,      0.7239869874,                 0,                 0,                 0,     0.09287370936,    -0.01574831741,      0.7239405246,                 0,       53.85301253,    0.009303285525
